#, Job_ID, WeatherFile, ModelFile, @@Height@@, @@Depth@@, @@Length@@, @@WWR@@, @@OverhangRatio@@, @@FinLeft@@, @@FinRight@@, @@Orientation@@, @@ConstructionType@@, @@WindowType@@, @@InfiltrationRate@@, @@WallInsulationRValue@@, @@BioPCM@@, @@Occupancy@@, @@CoolingSetPoint@@, @@HeatingSetPoint@@, @@Terrain@@
0, EP_G000000000, in.epw, Base.imf, 3, 5, 10, 16, 0.1, 0.1, 0.1, 180, SteelFramed, GenericWindow, 0.35, 2, WallAirGap, Office, 24, 21, Urban
1, EP_G000000001, in.epw, Base.imf, 3, 5, 10, 16, 0.1, 0.1, 0.1, 180, SteelFramed, GenericWindow, 0.35, 2, M27Q23, Office, 24, 21, Urban
